Index,audio,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,Instructions.started,resp_start.started,Instruction.stopped,resp_start.keys,trial.started,cross.started,audio.started,trial.stopped,Responses.started,respp.started,key_resp.started,Responses.stopped,key_resp.keys,key_resp.rt,key_resp.duration,response1,response2,response3,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.012406999943777919,0.06221310002729297,0.06221310002729297,3.931891600135714,None,,,,,,,,,,,,,,,700,001,2024-10-31_12h44.10.974,Trial_mult,2023.2.1,59.97285623218238,2024-10-31 12h44.24.355837 -0400,
1,block1_trial1_attendleft_leadmasker.wav,0,0,0,0,3.9474542001262307,,,,,,,3.9475903999991715,3.964923500083387,2.0173877000343055,9.81873430009,9.818744299933314,9.835111299995333,9.835111299995333,11.120923500042409,"['3', '3', '2']","[0.8398024998605251, 1.06344769988209]","[0.08794690016657114, 0.10304370010271668]",3,3,2,700,001,2024-10-31_12h44.10.974,Trial_mult,2023.2.1,59.97285623218238,2024-10-31 12h44.24.355837 -0400,
2,block1_trial2_attendleft_leadtarget.wav,0,1,1,1,13.138618899974972,,,,,,,13.138695399975404,13.155201199930161,2.017760500079021,18.9763734000735,18.97638290002942,18.993039699969813,18.993039699969813,20.14446899993345,"['3', '2', '3']","[0.6169016000349075, 0.9053346000146121]","[0.13631669990718365, 0.12018930003978312]",3,2,3,700,001,2024-10-31_12h44.10.974,Trial_mult,2023.2.1,59.97285623218238,2024-10-31 12h44.24.355837 -0400,
3,block1_trial3_attendright_leadmasker.wav,0,2,2,2,22.16236810013652,,,,,,,22.16244430001825,22.179560699965805,2.0168569998349994,28.03414519992657,28.034155000001192,28.050248800078407,28.050248800078407,29.11832599993795,"['3', '2', '1']","[0.504264100221917, 0.7839807001873851]","[0.1212446999270469, 0.1204545998480171]",3,2,1,700,001,2024-10-31_12h44.10.974,Trial_mult,2023.2.1,59.97285623218238,2024-10-31 12h44.24.355837 -0400,
4,block1_trial4_attendright_leadtarget.wav,0,3,3,3,31.136077400064096,,,,,,,31.136144200107083,31.15278590004891,2.000514900078997,36.991050200071186,36.991061999928206,37.00795050011948,37.00795050011948,38.62612139992416,"['1', '1', '3']","[1.0182805999647826, 1.2741827999707311]","[0.08808420016430318, 0.13709990005008876]",1,1,3,700,001,2024-10-31_12h44.10.974,Trial_mult,2023.2.1,59.97285623218238,2024-10-31 12h44.24.355837 -0400,
5,block1_trial5_attendright_leadtarget.wav,0,4,4,4,40.64418960013427,,,,,,,40.644260100089014,40.660868500126526,2.0182016999460757,46.51530349999666,46.51531539997086,46.53242089995183,46.53242089995183,47.55006940010935,"['1', '1', '2']","[0.5741388001479208, 0.7895941000897437]","[0.08768750005401671, 0.11227019992657006]",1,1,2,700,001,2024-10-31_12h44.10.974,Trial_mult,2023.2.1,59.97285623218238,2024-10-31 12h44.24.355837 -0400,
6,block1_trial6_attendleft_leadmasker.wav,0,5,5,5,49.567850599996746,,,,,,,49.56792389997281,49.58465229999274,2.0172951000276953,55.42187210009433,55.42188089992851,55.43872460001148,55.43872460001148,57.108266999945045,"['3', '2', '2']","[1.1555480000097305, 1.4758511998225003]","[0.129032599972561, 0.08806810015812516]",3,2,2,700,001,2024-10-31_12h44.10.974,Trial_mult,2023.2.1,59.97285623218238,2024-10-31 12h44.24.355837 -0400,
7,block1_trial7_attendleft_leadtarget.wav,0,6,6,6,59.125381800113246,,,,,,,59.12545880000107,59.14230450009927,2.016273299930617,64.99662819993682,64.99663830013014,65.01336709992029,65.01336709992029,66.0983498999849,"['3', '1', '2']","[0.7019841999281198, 0.88505470007658]","[0.11123100016266108, 0.12002169992774725]",3,1,2,700,001,2024-10-31_12h44.10.974,Trial_mult,2023.2.1,59.97285623218238,2024-10-31 12h44.24.355837 -0400,
8,block1_trial8_attendleft_leadtarget.wav,0,7,7,7,68.11619770014659,,,,,,,68.11626520007849,68.13232140010223,2.017444900004193,73.95394939999096,73.95395969995297,73.97002120013349,73.97002120013349,74.82169010001235,"['1', '3', '2']","[0.4805064999964088, 0.6647809999994934]","[0.11156889982521534, 0.11128549999557436]",1,3,2,700,001,2024-10-31_12h44.10.974,Trial_mult,2023.2.1,59.97285623218238,2024-10-31 12h44.24.355837 -0400,
9,block1_trial9_attendleft_leadmasker.wav,0,8,8,8,76.8393755001016,,,,,,,76.8394526001066,76.85652659996413,2.0186479999683797,82.69437599997036,82.69438620004803,82.71030379994772,82.71030379994772,83.71217519999482,"['3', '2', '3']","[0.5717937999870628, 0.7873174000997096]","[0.11248710006475449, 0.11260629980824888]",3,2,3,700,001,2024-10-31_12h44.10.974,Trial_mult,2023.2.1,59.97285623218238,2024-10-31 12h44.24.355837 -0400,
