4.0666 	ERROR 	Support for the `sounddevice` audio backend is not available this session. Please install `psychopy-sounddevice` and restart the session to enable support.
4.0666 	ERROR 	Failed to load any of the audioLibs: ['sounddevice']. Falling back to PsychToolbox ('ptb') backend for sound. Be sure to add 'ptb' to preferences to avoid seeing this message again.
4.1904 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice'] (in that order).
4.6270 	WARNING 	Requested audio device 'ASIO Fireface USB' that is not available on this hardware. The 'audioDevice' preference should be one of ['3 - DELL U2415 (AMD High Definition Audio Device)', '4 - DELL U2415 (AMD High Definition Audio Device)', 'ADAT (3+4) (RME Fireface UCX II)', 'ADAT (5+6) (RME Fireface UCX II)', 'ADAT (7+8) (RME Fireface UCX II)', 'AES (RME Fireface UCX II)', 'Analog (1+2) (RME Fireface UCX II)', 'Analog (3+4) (RME Fireface UCX II)', 'Analog (5+6) (RME Fireface UCX II)', 'SPDIF coax. (RME Fireface UCX II)', 'SPDIF/ADAT (1+2) (RME Fireface UCX II)', 'Speakers (RME Fireface UCX II)', 'Speakers/Headphones (Realtek(R) Audio)']
68.3901 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001F6DDDDACD0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001F6DDDDAC70>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1., -1., -1.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001F6DDDDAAF0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001F6DE34E580>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1200]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
68.3902 	EXP 	window1: mouseVisible = True
68.3902 	EXP 	window1: backgroundImage = ''
68.3903 	EXP 	window1: backgroundFit = 'none'
68.3922 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
68.3922 	EXP 	window1: recordFrameIntervals = False
68.5560 	EXP 	window1: recordFrameIntervals = True
68.7396 	EXP 	Screen (0) actual frame rate measured at 59.97Hz
68.7396 	EXP 	window1: recordFrameIntervals = False
68.7397 	EXP 	window1: mouseVisible = False
73.7479 	EXP 	Trial_mult: status = STARTED
73.7485 	EXP 	window1: mouseVisible = True
73.8401 	EXP 	Created Instructions = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='Instructions', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
73.8403 	EXP 	window1: mouseVisible = True
73.8440 	EXP 	Created cross = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='cross', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='+', units='height', win=Window(...), wrapWidth=1)
73.8442 	EXP 	window1: mouseVisible = True
73.8520 	EXP 	Created breakk = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='breakk', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
73.8521 	EXP 	window1: mouseVisible = True
73.8640 	EXP 	Created respp = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='respp', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
0.0468 	EXP 	Instructions: autoDraw = True
4.9323 	EXP 	Imported C:\Users\Lab User\Documents\GitHub\Bash_Dash_Gash\Stimcode\Audio\720\audio_file_paths.csv as conditions, 400 conditions, 2 params
4.9339 	EXP 	Created sequence: sequential, trialTypes=400, nReps=1, seed=None
4.9341 	EXP 	New trial (rep=0, index=0): OrderedDict([('Index', 1), ('audio', 'block1_trial1_attendright_leadmasker.wav')])
4.9351 	DATA 	Keypress: space
4.9506 	EXP 	Instructions: autoDraw = False
4.9669 	EXP 	cross: autoDraw = True
10.7886 	EXP 	cross: autoDraw = False
10.7886 	EXP 	respp: autoDraw = True
11.6590 	DATA 	Keypress: 1
12.4591 	DATA 	Keypress: 2
12.7756 	DATA 	Keypress: 3
12.7930 	EXP 	New trial (rep=0, index=1): OrderedDict([('Index', 2), ('audio', 'block1_trial2_attendright_leadmasker.wav')])
12.8063 	EXP 	respp: autoDraw = False
12.8231 	EXP 	cross: autoDraw = True
18.6784 	EXP 	cross: autoDraw = False
18.6784 	EXP 	respp: autoDraw = True
20.8829 	DATA 	Keypress: 1
21.2157 	DATA 	Keypress: 3
21.3984 	EXP 	New trial (rep=0, index=2): OrderedDict([('Index', 3), ('audio', 'block1_trial3_attendright_leadtarget.wav')])
21.3991 	DATA 	Keypress: 2
21.4131 	EXP 	respp: autoDraw = False
21.4305 	EXP 	cross: autoDraw = True
27.2683 	EXP 	cross: autoDraw = False
27.2683 	EXP 	respp: autoDraw = True
28.5557 	DATA 	Keypress: 1
29.1226 	DATA 	Keypress: 2
29.2714 	EXP 	New trial (rep=0, index=3): OrderedDict([('Index', 4), ('audio', 'block1_trial4_attendright_leadmasker.wav')])
29.2721 	DATA 	Keypress: 3
29.2861 	EXP 	respp: autoDraw = False
29.3037 	EXP 	cross: autoDraw = True
35.1750 	EXP 	cross: autoDraw = False
35.1750 	EXP 	respp: autoDraw = True
37.2622 	DATA 	Keypress: 2
37.4459 	DATA 	Keypress: 1
37.5951 	EXP 	New trial (rep=0, index=4): OrderedDict([('Index', 5), ('audio', 'block1_trial5_attendright_leadmasker.wav')])
37.5958 	DATA 	Keypress: 3
37.6095 	EXP 	respp: autoDraw = False
37.6264 	EXP 	cross: autoDraw = True
43.4820 	EXP 	cross: autoDraw = False
43.4820 	EXP 	respp: autoDraw = True
44.9854 	DATA 	Keypress: 2
45.4522 	DATA 	Keypress: 3
