Index,audio,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,Instructions.started,resp_start.started,Instruction.stopped,resp_start.keys,trial.started,cross.started,audio.started,trial.stopped,Responses.started,respp.started,key_resp.started,Responses.stopped,key_resp.keys,key_resp.rt,key_resp.duration,response1,response2,response3,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.02193950000219047,0.05618109996430576,0.05618109996430576,2.2744986000470817,None,,,,,,,,,,,,,,,719,001,2024-10-31_12h47.46.785,Trial_mult,2023.2.1,60.00938539962185,2024-10-31 12h47.57.659379 -0400,
1,block1_trial1_attendright_leadmasker.wav,0,0,0,0,2.306519800098613,,,,,,,2.306584500009194,2.322846099967137,2.000484999967739,8.161831600125879,8.161842100089416,8.177758000092581,8.177758000092581,9.28009150014259,"['2', '3', '2']","[0.5783625999465585, 0.8506889999844134]","[0.0796465000603348, 0.09654389997012913]",2,3,2,719,001,2024-10-31_12h47.46.785,Trial_mult,2023.2.1,60.00938539962185,2024-10-31 12h47.57.659379 -0400,
2,block1_trial2_attendright_leadmasker.wav,0,1,1,1,11.297472800128162,,,,,,,11.297546500107273,11.314367100130767,2.0159712000750005,17.169374800054356,17.169385000132024,17.185136600164697,17.185136600164697,18.253677800064906,"['2', '3', '2']","[0.6590239000506699, 0.8509283000603318]","[0.12105099996551871, 0.11989480000920594]",2,3,2,719,001,2024-10-31_12h47.46.785,Trial_mult,2023.2.1,60.00938539962185,2024-10-31 12h47.57.659379 -0400,
3,block1_trial3_attendright_leadtarget.wav,0,2,2,2,20.27185870008543,,,,,,,20.27193560008891,20.288188100093976,2.017552100121975,26.12615260016173,26.12616300000809,26.142679000040516,26.142679000040516,27.27823229995556,"['1', '2', '2']","[0.6935396001208574, 0.9419658000115305]","[0.1127845998853445, 0.07291320012882352]",1,2,2,719,001,2024-10-31_12h47.46.785,Trial_mult,2023.2.1,60.00938539962185,2024-10-31 12h47.57.659379 -0400,
4,block1_trial4_attendright_leadmasker.wav,0,3,3,3,29.295298099983484,,,,,,,29.295364700024948,29.31241700006649,2.016640300163999,35.13340659998357,35.133416700176895,35.14998980006203,35.14998980006203,36.551641300087795,"['1', '2', '3']","[1.022358600050211, 1.2390968999825418]","[0.11170620005577803, 0.09683310007676482]",1,2,3,719,001,2024-10-31_12h47.46.785,Trial_mult,2023.2.1,60.00938539962185,2024-10-31 12h47.57.659379 -0400,
5,block1_trial5_attendright_leadmasker.wav,0,4,4,4,38.56966989999637,,,,,,,38.56974330008961,38.58637020015158,2.017873599892482,44.42425879999064,44.42426889995113,44.44092830014415,44.44092830014415,45.7762975001242,"['3', '2', '1']","[0.8830496000591666, 1.162783799925819]","[0.15206429990939796, 0.121110700070858]",3,2,1,719,001,2024-10-31_12h47.46.785,Trial_mult,2023.2.1,60.00938539962185,2024-10-31 12h47.57.659379 -0400,
6,block1_trial6_attendleft_leadtarget.wav,0,5,5,5,47.793988100020215,,,,,,,47.794064100133255,47.81036370014772,2.0173637999687344,53.665169400162995,53.66517940000631,53.681738700019196,53.681738700019196,54.917479700176045,"['3', '3', '1']","[0.8825161000713706, 1.0582455999683589]","[0.08849920006468892, 0.11259490018710494]",3,3,1,719,001,2024-10-31_12h47.46.785,Trial_mult,2023.2.1,60.00938539962185,2024-10-31 12h47.57.659379 -0400,
7,block1_trial7_attendleft_leadtarget.wav,0,6,6,6,56.93431850010529,,,,,,,56.93439540010877,56.95100100012496,2.0168888000771403,62.8058307999745,62.805840800050646,62.821730100084096,62.821730100084096,63.92354940017685,"['1', '2', '2']","[0.6383851000573486, 0.9120318000204861]","[0.09732989990152419, 0.07884049997664988]",1,2,2,719,001,2024-10-31_12h47.46.785,Trial_mult,2023.2.1,60.00938539962185,2024-10-31 12h47.57.659379 -0400,
8,block1_trial8_attendleft_leadmasker.wav,0,7,7,7,65.94122590008192,,,,,,,65.94129680003971,65.95821400010027,2.0172217001672834,71.77946860017255,71.77947850013152,71.79617480002344,71.79617480002344,72.78173319995403,"['2', '3', '3']","[0.5207685001660138, 0.7837980000767857]","[0.128285399870947, 0.08120150002650917]",2,3,3,719,001,2024-10-31_12h47.46.785,Trial_mult,2023.2.1,60.00938539962185,2024-10-31 12h47.57.659379 -0400,
9,block1_trial9_attendleft_leadmasker.wav,0,8,8,8,74.79832200007513,,,,,,,74.79838940012269,74.81518730008975,2.01723949983716,80.6533576999791,80.65336810005829,80.67009120015427,80.67009120015427,82.32168580009602,"['2', '3', '2']","[1.2317047000396997, 1.4536956001538783]","[0.12696960009634495, 0.0968017999548465]",2,3,2,719,001,2024-10-31_12h47.46.785,Trial_mult,2023.2.1,60.00938539962185,2024-10-31 12h47.57.659379 -0400,
