Index,audio,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,Instructions.started,resp_start.started,Instruction.stopped,resp_start.keys,trial.started,cross.started,audio.started,trial.stopped,Responses.started,respp.started,key_resp.started,Responses.stopped,key_resp.keys,response1,response2,response3,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.01804450000003044,0.05116659999998774,0.05116659999998774,4.289361999999983,None,,,,,,,,,,,,,,,700,001,2024-11-20_17h20.34.774,Trial_mult,2023.2.1,59.942622921338724,2024-11-20 17h20.46.371871 -0500,
1,block1_trial1_attendleft_leadmasker.wav,0,0,0,0,4.387683900000013,,,,,,,4.387763699999994,4.404587900000024,2.000084700000002,10.176107300000012,10.176120500000025,10.192713000000026,10.192713000000026,14.29597050000001,None,NA,NA,NA,,,700,001,2024-11-20_17h20.34.774,Trial_mult,2023.2.1,59.942622921338724,2024-11-20 17h20.46.371871 -0500,
2,block1_trial2_attendleft_leadtarget.wav,0,1,1,1,14.312779200000023,,,,,,,14.312878300000023,14.329288500000018,2.0238617000000545,20.20075780000002,20.200768700000026,20.21752600000002,20.21752600000002,22.503663099999983,"['3', '2', '1']",3,2,1,"[1.6310940999999843, 1.9983593999999698]","[0.09580829999998741, 0.09688940000000912]",700,001,2024-11-20_17h20.34.774,Trial_mult,2023.2.1,59.942622921338724,2024-11-20 17h20.46.371871 -0500,
3,block1_trial3_attendright_leadmasker.wav,0,2,2,2,22.518867999999998,,,,,,,22.518940999999984,22.535839399999986,2.016744399999993,28.37454919999999,28.37456000000003,28.390851999999995,28.390851999999995,31.694788399999993,"['3', '2', '1']",3,2,1,"[1.8739888000000064, 2.314534500000036]","[0.09470590000000811, 0.11116529999998193]",700,001,2024-11-20_17h20.34.774,Trial_mult,2023.2.1,59.942622921338724,2024-11-20 17h20.46.371871 -0500,
4,block1_trial4_attendright_leadtarget.wav,0,3,3,3,31.70939679999998,,,,,,,31.709449199999995,31.726606100000026,2.0164982999999665,37.564527,37.564537599999994,37.58091089999999,37.58091089999999,40.40143929999999,"['1', '3', '2']",1,3,2,"[1.5468960000000038, 2.5873015000000237]","[0.10514619999997876, 0.12834359999999378]",700,001,2024-11-20_17h20.34.774,Trial_mult,2023.2.1,59.942622921338724,2024-11-20 17h20.46.371871 -0500,
5,block1_trial5_attendright_leadtarget.wav,0,4,4,4,40.41642999999999,,,,,,,40.41649619999998,40.43323730000003,2.016689100000008,46.30519770000001,46.3052098,46.32175849999999,46.32175849999999,48.423952799999995,"['1', '3', '2']",1,3,2,"[1.5115644999999631, 1.8148702999999955]","[0.08633910000003198, 0.11975599999999531]",700,001,2024-11-20_17h20.34.774,Trial_mult,2023.2.1,59.942622921338724,2024-11-20 17h20.46.371871 -0500,
6,block1_trial6_attendleft_leadmasker.wav,0,5,5,5,48.43971499999998,,,,,,,48.43978830000003,48.45666,2.017205699999977,54.27814239999998,54.27815300000003,54.29462430000001,54.29462430000001,58.431702599999994,"['2', '3']",2,3,NA,"[3.697179399999982, 3.8424556999999595]","[0.08129789999998138, 0.07104950000001509]",700,001,2024-11-20_17h20.34.774,Trial_mult,2023.2.1,59.942622921338724,2024-11-20 17h20.46.371871 -0500,
7,block1_trial7_attendleft_leadtarget.wav,0,6,6,6,58.44834129999998,,,,,,,58.44842040000003,58.46439400000003,2.0250095999999758,64.32011499999999,64.32012600000002,64.33614319999998,64.33614319999998,66.5557713,"['3', '1', '2']",3,1,2,"[1.1835216999999716, 1.8162772000000018]","[0.12090990000001511, 0.08727509999999938]",700,001,2024-11-20_17h20.34.774,Trial_mult,2023.2.1,59.942622921338724,2024-11-20 17h20.46.371871 -0500,
8,block1_trial8_attendleft_leadtarget.wav,0,7,7,7,66.57066150000003,,,,,,,66.57071259999998,66.58747010000002,2.0165954000000283,72.44285919999999,72.44287079999998,72.45968190000002,72.45968190000002,74.74592640000003,"['1', '3', '2']",1,3,2,"[0.8526598000000263, 2.013356999999985]","[0.08712389999999459, 0.09583830000002536]",700,001,2024-11-20_17h20.34.774,Trial_mult,2023.2.1,59.942622921338724,2024-11-20 17h20.46.371871 -0500,
9,block1_trial9_attendleft_leadmasker.wav,0,8,8,8,74.7605479,,,,,,,74.76059759999998,74.77760510000002,2.0163845999999808,80.6161257,80.61613690000001,80.63273400000003,80.63273400000003,84.07051410000003,"['3', '1', '2']",3,1,2,"[1.2072415000000092, 3.2556433999999967]","[0.11187670000003891, 0.07995809999999892]",700,001,2024-11-20_17h20.34.774,Trial_mult,2023.2.1,59.942622921338724,2024-11-20 17h20.46.371871 -0500,
10,block1_trial10_attendright_leadtarget.wav,0,9,9,9,84.08468429999999,,,,,,,84.08473359999999,84.10145319999998,2.015810600000009,89.9575802,89.95759400000003,89.97382090000002,89.97382090000002,94.0767146,['1'],1,NA,NA,[2.1379173000000264],[0.08111359999998058],700,001,2024-11-20_17h20.34.774,Trial_mult,2023.2.1,59.942622921338724,2024-11-20 17h20.46.371871 -0500,
11,block1_trial11_attendright_leadmasker.wav,0,10,10,10,94.09335850000002,,,,,,,94.09344229999999,94.11006609999998,2.023074699999995,99.93182389999998,99.93183529999999,99.94816270000001,99.94816270000001,102.45090479999999,"['2', '3', '1']",2,3,1,"[1.1646988999999621, 2.2769951999999876]","[0.09608430000002954, 0.10320450000000392]",700,001,2024-11-20_17h20.34.774,Trial_mult,2023.2.1,59.942622921338724,2024-11-20 17h20.46.371871 -0500,
