Index,audio,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,Instructions.started,resp_start.started,Instruction.stopped,resp_start.keys,trial.started,cross.started,audio.started,trial.stopped,Responses.started,respp.started,key_resp.started,Responses.stopped,key_resp.keys,key_resp.rt,key_resp.duration,response1,response2,response3,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.01671549997990951,0.05116429997724481,0.05116429997724481,1.0845102999883238,None,,,,,,,,,,,,,,,720,001,2024-11-20_15h39.17.846,Trial_mult,2023.2.1,59.93788038573041,2024-11-20 15h39.43.590003 -0500,
1,block1_trial1_attendright_leadmasker.wav,0,0,0,0,1.1165303000016138,,,,,,,1.1165945999964606,1.1503204999899026,2.0168647000100464,6.937879299977794,6.937890300003346,6.954371200001333,6.954371200001333,8.00656720000552,"['2', '1', '3']","[0.6704085000092164, 0.8544534000102431]","[0.14495919999899343, 0.1376579999923706]",2,1,3,720,001,2024-11-20_15h39.17.846,Trial_mult,2023.2.1,59.93788038573041,2024-11-20 15h39.43.590003 -0500,
2,block1_trial2_attendright_leadmasker.wav,0,1,1,1,8.021890100004384,,,,,,,8.021950299997116,8.038581600005273,2.0154971000156365,13.860466999991331,13.86047669997788,13.877041999978246,13.877041999978246,15.495892199978698,"['2', '1', '3']","[1.2286581999796908, 1.3717385999916587]","[0.13490740000270307, 0.1530237999977544]",2,1,3,720,001,2024-11-20_15h39.17.846,Trial_mult,2023.2.1,59.93788038573041,2024-11-20 15h39.43.590003 -0500,
3,block1_trial3_attendright_leadtarget.wav,0,2,2,2,15.511255999997957,,,,,,,15.511318999982905,15.527894899976673,2.0165521999879275,21.382870699977502,21.382880199991632,21.399318099982338,21.399318099982338,23.2020636999805,"['2', '1', '3']","[1.0264233000052627, 1.2099070000112988]","[0.19917770000756718, 0.13556319999042898]",2,1,3,720,001,2024-11-20_15h39.17.846,Trial_mult,2023.2.1,59.93788038573041,2024-11-20 15h39.43.590003 -0500,
4,block1_trial4_attendright_leadmasker.wav,0,3,3,3,23.2174662000034,,,,,,,23.21753080000053,23.23408449999988,2.0166520999919157,29.088981299981242,29.088990499993088,29.105455099983374,29.105455099983374,30.1241655999911,"['2', '1', '3']","[0.6725074000132736, 0.807691199996043]","[0.1590128999960143, 0.13661370001500472]",2,1,3,720,001,2024-11-20_15h39.17.846,Trial_mult,2023.2.1,59.93788038573041,2024-11-20 15h39.43.590003 -0500,
5,block1_trial5_attendright_leadmasker.wav,0,4,4,4,30.13975410000421,,,,,,,30.13981849999982,30.156460300000617,2.01686219999101,36.01118849997874,36.011198799998965,36.027601399982814,36.027601399982814,36.012115699995775,"['2', '1', '3']",[],"[0.1590128999960143, 0.13661370001500472]",2,1,3,720,001,2024-11-20_15h39.17.846,Trial_mult,2023.2.1,59.93788038573041,2024-11-20 15h39.43.590003 -0500,
6,block1_trial6_attendleft_leadtarget.wav,0,5,5,5,36.027601399982814,,,,,,,36.02794999998878,36.04440029998659,2.016698699997505,41.86647829998401,41.866488200001186,41.88285559997894,41.88285559997894,42.984558399999514,"['2', '1', '3']","[0.766575500019826, 0.8949441000004299]","[0.1436585999908857, 0.12734760000603274]",2,1,3,720,001,2024-11-20_15h39.17.846,Trial_mult,2023.2.1,59.93788038573041,2024-11-20 15h39.43.590003 -0500,
,,,,,,42.99990359999356,,,,,,,42.99996089999331,43.0166241999832,2.0166590999870095,48.87150979999569,48.87152059999062,48.888007400004426,48.888007400004426,,,,,,,,,,,,,,,
