audio,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,Instructions.started,resp_start.started,Instruction.stopped,resp_start.keys,resp_start.rt,resp_start.duration,trial.started,cross.started,sound_1.started,trial.stopped,Responses.started,respp.started,key_resp.started,Responses.stopped,key_resp.keys,key_resp.rt,key_resp.duration,response1,response2,response3,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.01050169998779893,0.027553599968086928,0.027553599968086928,1.4933730000047944,space,1.4438071000040509,None,,,,,,,,,,,,,,,111,001,2024-09-24_16h59.12.286,Trial_mult,2023.2.1,60.23269094346231,2024-09-24 16h59.19.616963 -0400,
block1_trial1_attendleft_leadmasker.wav,0,0,0,0,1.5012680999934673,,,,,,,,,1.5013314000098035,1.5136766000068747,2.024633300025016,7.275039299973287,7.2750482999836095,7.325028999999631,7.325028999999631,8.173356299987063,"['3', '2', '1']","[0.39244959998177364, 0.6374434999888763]","[0.08848650002619252, 0.0850551999756135]",3,2,1,111,001,2024-09-24_16h59.12.286,Trial_mult,2023.2.1,60.23269094346231,2024-09-24 16h59.19.616963 -0400,
block1_trial2_attendright_leadmasker.wav,0,1,1,1,8.188615899998695,,,,,,,,,8.188680699968245,8.205496399954427,2.008638500003144,13.940017899964005,13.940032699960284,13.956552599964198,13.956552599964198,14.839141800010111,"['2', '2', '2']","[0.4562784999725409, 0.672100399970077]","[0.11471290001645684, 0.10517779999645427]",2,2,2,111,001,2024-09-24_16h59.12.286,Trial_mult,2023.2.1,60.23269094346231,2024-09-24 16h59.19.616963 -0400,
block1_trial3_attendright_leadtarget.wav,0,2,2,2,14.85387539997464,,,,,,,,,14.853986700007226,14.870410999981686,2.009166500007268,20.605082599970046,20.60508959996514,20.621902099985164,20.621902099985164,21.885924500005785,"['3', '3', '3']","[0.6896975000272505, 0.9925383999943733]","[0.10595569998258725, 0.1481956000206992]",3,3,3,111,001,2024-09-24_16h59.12.286,Trial_mult,2023.2.1,60.23269094346231,2024-09-24 16h59.19.616963 -0400,
,,,,,21.901389699953143,,,,,,,,,21.90145109995501,21.917942099971697,,,,,,,,,,,,,,,,,,,,
