Index,audio,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,Instructions.started,resp_start.started,Instruction.stopped,resp_start.keys,resp_start.rt,resp_start.duration,trial.started,cross.started,audio.started,trial.stopped,Responses.started,respp.started,key_resp.started,Responses.stopped,key_resp.keys,response1,response2,response3,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.010487899999134243,0.06069519999437034,0.06069519999437034,2.245500999968499,space,2.1801976000424474,None,,,,,,,,,,,,,700,001,2024-10-16_16h47.48.328,Trial_mult,2023.2.1,59.94280258884901,2024-10-16 16h47.59.184177 -0400,
1,block1_trial1_attendleft_leadmasker.wav,0,0,0,0,2.2613456998951733,,,,,,,,,2.261413999949582,2.2780382999917492,2.017495800042525,8.133058599894866,8.133068999974057,8.149403999908827,8.149403999908827,12.252785499906167,None,NA,NA,NA,700,001,2024-10-16_16h47.48.328,Trial_mult,2023.2.1,59.94280258884901,2024-10-16 16h47.59.184177 -0400,
2,block1_trial2_attendleft_leadtarget.wav,0,1,1,1,12.269401300000027,,,,,,,,,12.269469799939543,12.286058999947272,2.0248102000914514,18.124656099942513,18.124666799907573,18.14134429988917,18.14134429988917,22.26076429989189,None,NA,NA,NA,700,001,2024-10-16_16h47.48.328,Trial_mult,2023.2.1,59.94280258884901,2024-10-16 16h47.59.184177 -0400,
3,block1_trial3_attendright_leadmasker.wav,0,2,2,2,22.27734279993456,,,,,,,,,22.277402499923483,22.29399169993121,2.032308600144461,28.148962099920027,28.148971799993888,28.165484700002708,28.165484700002708,32.252175899920985,None,NA,NA,NA,700,001,2024-10-16_16h47.48.328,Trial_mult,2023.2.1,59.94280258884901,2024-10-16 16h47.59.184177 -0400,
4,block1_trial4_attendright_leadtarget.wav,0,3,3,3,32.26884859998245,,,,,,,,,32.26892049994785,32.28547689993866,2.023106900160201,38.140701600001194,38.140711699961685,38.1574444998987,38.1574444998987,42.26018729992211,None,NA,NA,NA,700,001,2024-10-16_16h47.48.328,Trial_mult,2023.2.1,59.94280258884901,2024-10-16 16h47.59.184177 -0400,
5,block1_trial5_attendright_leadtarget.wav,0,4,4,4,42.27684899989981,,,,,,,,,42.27690729999449,42.29348959994968,2.0305675002746284,48.13167319993954,48.131683399900794,48.148192499997094,48.148192499997094,52.251470499904826,None,NA,NA,NA,700,001,2024-10-16_16h47.48.328,Trial_mult,2023.2.1,59.94280258884901,2024-10-16 16h47.59.184177 -0400,
6,block1_trial6_attendleft_leadmasker.wav,0,5,5,5,52.268123199930415,,,,,,,,,52.26818769995589,52.284811899997294,2.0212719002738595,58.10667859995738,58.10668949992396,58.12333469989244,58.12333469989244,62.259614199982025,None,NA,NA,NA,700,001,2024-10-16_16h47.48.328,Trial_mult,2023.2.1,59.94280258884901,2024-10-16 16h47.59.184177 -0400,
7,block1_trial7_attendleft_leadtarget.wav,0,6,6,6,62.27613559993915,,,,,,,,,62.276195099926554,62.29291329998523,2.0287369003053755,68.14750789990649,68.14751779998187,68.16418520000298,68.16418520000298,72.25090429990087,None,NA,NA,NA,700,001,2024-10-16_16h47.48.328,Trial_mult,2023.2.1,59.94280258884901,2024-10-16 16h47.59.184177 -0400,
8,block1_trial8_attendleft_leadtarget.wav,0,7,7,7,72.26750339998398,,,,,,,,,72.26756469998509,72.28424879990052,2.0194764003390446,78.12271939998027,78.12272909993771,78.13933129992802,78.13933129992802,82.25889279996045,None,NA,NA,NA,700,001,2024-10-16_16h47.48.328,Trial_mult,2023.2.1,59.94280258884901,2024-10-16 16h47.59.184177 -0400,
9,block1_trial9_attendleft_leadmasker.wav,0,8,8,8,82.27556959993672,,,,,,,,,82.27563209994696,82.29221200000029,2.026893100468442,88.14714249991812,88.1471523999935,88.16363219998311,88.16363219998311,92.26691319991369,None,NA,NA,NA,700,001,2024-10-16_16h47.48.328,Trial_mult,2023.2.1,59.94280258884901,2024-10-16 16h47.59.184177 -0400,
10,block1_trial10_attendright_leadtarget.wav,0,9,9,9,92.28361349995248,,,,,,,,,92.2836718999315,92.30020830000285,2.001042300486006,98.08878120000008,98.08879109995905,98.10487439995632,98.10487439995632,102.25825479999185,None,NA,NA,NA,700,001,2024-10-16_16h47.48.328,Trial_mult,2023.2.1,59.94280258884901,2024-10-16 16h47.59.184177 -0400,
11,block1_trial11_attendright_leadmasker.wav,0,10,10,10,102.27487849991303,,,,,,,,,102.2749363000039,102.29155209998135,2.0251507004722953,108.12974599993322,108.12975659989752,108.1462871999247,108.1462871999247,112.26635129994247,None,NA,NA,NA,700,001,2024-10-16_16h47.48.328,Trial_mult,2023.2.1,59.94280258884901,2024-10-16 16h47.59.184177 -0400,
12,block1_trial12_attendright_leadmasker.wav,0,11,11,11,112.28293249988928,,,,,,,,,112.28299569990486,112.29964589991141,1.9991950005060062,118.10496729996521,118.10497759992722,118.12142509990372,118.12142509990372,122.25773299997672,None,NA,NA,NA,700,001,2024-10-16_16h47.48.328,Trial_mult,2023.2.1,59.94280258884901,2024-10-16 16h47.59.184177 -0400,
