audio,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,Instructions.started,resp_start.started,Instruction.stopped,resp_start.keys,trial.started,cross.started,sound_1.started,trial.stopped,Responses.started,respp.started,key_resp.started,Responses.stopped,key_resp.keys,key_resp.rt,key_resp.duration,response1,response2,response3,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.008132099639624357,0.04101539961993694,0.04101539961993694,2.544582999777049,None,,,,,,,,,,,,,,,111,001,2024-09-25_11h30.52.169,Trial_mult,2023.2.1,60.1736489954634,2024-09-25 11h31.05.458298 -0400,
block1_trial1_attendleft_leadmasker.wav,0,0,0,0,2.5608914997428656,,,,,,,2.5609479998238385,2.593072499614209,1.999959500040859,8.314488399773836,8.314498599618673,8.331034800037742,8.331034800037742,9.600293600000441,"['2', '3', '1']","[0.6959836999885738, 1.0088760000653565]","[0.16802340000867844, 0.12711769994348288]",2,3,1,111,001,2024-09-25_11h30.52.169,Trial_mult,2023.2.1,60.1736489954634,2024-09-25 11h31.05.458298 -0400,
block1_trial2_attendright_leadmasker.wav,0,1,1,1,9.615272399969399,,,,,,,9.615332099609077,9.632038099691272,2.015055499970913,15.353384399786592,15.35339429974556,15.369989399798214,15.369989399798214,16.52223479980603,"['2', '3', '1']","[0.6573326997458935, 0.8898935997858644]","[0.07944290013983846, 0.08814299991354346]",2,3,1,111,001,2024-09-25_11h30.52.169,Trial_mult,2023.2.1,60.1736489954634,2024-09-25 11h31.05.458298 -0400,
block1_trial3_attendright_leadtarget.wav,0,2,2,2,16.537616099696606,,,,,,,16.537684599868953,16.55414339993149,2.016997800208628,22.275601599831134,22.275611899793148,22.292225199751556,22.292225199751556,23.577726499643177,"['2', '2', '2']","[0.8636950999498367, 1.102701600175351]","[0.08716899994760752, 0.0321301999501884]",2,2,2,111,001,2024-09-25_11h30.52.169,Trial_mult,2023.2.1,60.1736489954634,2024-09-25 11h31.05.458298 -0400,
,,,,,23.593213099986315,,,,,,,23.593279199674726,23.609888499602675,2.0167225003242493,29.33120119990781,29.33121219975874,29.347783599980175,29.347783599980175,,,,,,,,,,,,,,,
