Index,audio,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,Instructions.started,resp_start.started,Instruction.stopped,resp_start.keys,resp_start.rt,resp_start.duration,trial.started,cross.started,audio.started,trial.stopped,Responses.started,respp.started,key_resp.started,Responses.stopped,key_resp.keys,response1,response2,response3,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.022634100023424253,0.05518429999938235,0.05518429999938235,2.7075767000205815,space,2.644794499996351,None,,,,,,,,,,,,,,720,001,2024-11-20_15h38.19.853,Trial_mult,2023.2.1,59.974870522925535,2024-11-20 15h38.37.336847 -0500,
1,block1_trial1_attendright_leadmasker.wav,0,0,0,0,2.7246302000130527,,,,,,,,,2.7246879000158515,2.756552400009241,2.000741600000765,8.561946100002388,8.56195740000112,8.57856360002188,8.57856360002188,12.714687600004254,None,NA,NA,NA,,720,001,2024-11-20_15h38.19.853,Trial_mult,2023.2.1,59.974870522925535,2024-11-20 15h38.37.336847 -0500,
,,,,,,12.731309700000565,,,,,,,,,12.731374599999981,12.747983500012197,2.0247501999838278,18.586248300009174,18.586258900002576,,,18.5872270000109,"['2', '1', '3']",,,,[],,,,,,,,
