Index,audio,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,Instructions.started,resp_start.started,Instruction.stopped,resp_start.keys,trial.started,cross.started,audio.started,trial.stopped,Responses.started,respp.started,key_resp.started,Responses.stopped,key_resp.keys,key_resp.rt,key_resp.duration,response1,response2,response3,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.013574299999959294,0.04679369999996652,0.04679369999996652,4.919034999999894,None,,,,,,,,,,,,,,,720,001,2024-11-20_17h24.27.720,Trial_mult,2023.2.1,59.96771338309516,2024-11-20 17h25.31.784983 -0500,
1,block1_trial1_attendright_leadmasker.wav,0,0,0,0,4.950636799999984,,,,,,,4.95070869999995,4.966915399999948,1.9996149999999489,10.772422099999972,10.77243319999991,10.788601599999993,10.788601599999993,12.791330099999982,"['1', '2', '3']","[0.8678713000000471, 1.667750700000056]","[0.07121359999996457, 0.06358120000004419]",1,2,3,720,001,2024-11-20_17h24.27.720,Trial_mult,2023.2.1,59.96771338309516,2024-11-20 17h25.31.784983 -0500,
2,block1_trial2_attendright_leadmasker.wav,0,1,1,1,12.8063128,,,,,,,12.80637779999995,12.823113299999932,2.0158402000000706,18.66196519999994,18.661975499999926,18.678400799999963,18.678400799999963,21.397813399999905,"['1', '3', '2']","[2.2013921999999866, 2.5291664000000083]","[0.07181049999996958, 0.08034059999999954]",1,3,2,720,001,2024-11-20_17h24.27.720,Trial_mult,2023.2.1,59.96771338309516,2024-11-20 17h25.31.784983 -0500,
3,block1_trial3_attendright_leadtarget.wav,0,2,2,2,21.41308129999993,,,,,,,21.413131499999963,21.43050149999999,2.016717999999969,27.252081499999917,27.252091199999995,27.26827359999993,27.26827359999993,29.270835399999896,"['1', '2', '3']","[1.282608200000027, 1.8508434000000307]","[0.08967459999996663, 0.10457840000003671]",1,2,3,720,001,2024-11-20_17h24.27.720,Trial_mult,2023.2.1,59.96771338309516,2024-11-20 17h25.31.784983 -0500,
4,block1_trial4_attendright_leadmasker.wav,0,3,3,3,29.286085399999934,,,,,,,29.2861347999999,29.303702499999986,2.0173663999999008,35.15808249999998,35.15809279999996,35.17498599999999,35.17498599999999,37.594509899999935,"['2', '1', '3']","[2.0797368000000915, 2.2565462000000025]","[0.09614639999995234, 0.07997710000006464]",2,1,3,720,001,2024-11-20_17h24.27.720,Trial_mult,2023.2.1,59.96771338309516,2024-11-20 17h25.31.784983 -0500,
5,block1_trial5_attendright_leadmasker.wav,0,4,4,4,37.609477099999935,,,,,,,37.609529799999905,37.62637189999998,2.0166093000000274,43.46561159999999,43.465621799999894,43.48197389999996,43.48197389999996,45.6344959999999,"['2', '3', '1']","[1.4934243000000151, 1.9576970000000529]","[0.11226209999995262, 0.09515490000001137]",2,3,1,720,001,2024-11-20_17h24.27.720,Trial_mult,2023.2.1,59.96771338309516,2024-11-20 17h25.31.784983 -0500,
6,block1_trial6_attendleft_leadtarget.wav,0,5,5,5,45.6492667,,,,,,,45.64931619999993,45.66668709999999,2.0169148999999607,51.50479839999991,51.50480859999993,51.52123629999994,51.52123629999994,54.52511479999998,"['3', '2', '1']","[2.3264809999999443, 2.615379399999938]","[0.09622680000006767, 0.09537730000010924]",3,2,1,720,001,2024-11-20_17h24.27.720,Trial_mult,2023.2.1,59.96771338309516,2024-11-20 17h25.31.784983 -0500,
7,block1_trial7_attendleft_leadtarget.wav,0,6,6,6,54.53972729999998,,,,,,,54.53978029999996,54.55670399999997,2.0165534000000207,60.412132399999905,60.4121437,60.42875719999995,60.42875719999995,63.432097999999996,"['1', '3', '2']","[1.0279391999999916, 2.8105218999999124]","[0.1428457999999182, 0.12788740000007692]",1,3,2,720,001,2024-11-20_17h24.27.720,Trial_mult,2023.2.1,59.96771338309516,2024-11-20 17h25.31.784983 -0500,
8,block1_trial8_attendleft_leadmasker.wav,0,7,7,7,63.44687709999994,,,,,,,63.446930899999984,63.46397349999995,2.016407999999956,69.33516039999995,69.33517109999991,69.35171579999997,69.35171579999997,71.67143399999998,"['2', '1', '3']","[1.5759329999999636, 1.9763950999999906]","[0.11986909999995987, 0.0956988000000365]",2,1,3,720,001,2024-11-20_17h24.27.720,Trial_mult,2023.2.1,59.96771338309516,2024-11-20 17h25.31.784983 -0500,
9,block1_trial9_attendleft_leadmasker.wav,0,8,8,8,71.68725889999996,,,,,,,71.68733509999993,71.7039777,2.0174319000000196,77.54225999999994,77.54226999999992,77.5588856999999,77.5588856999999,80.1620433999999,"['2', '1', '3']","[1.8011815999999499, 2.3206380999999965]","[0.08668290000002798, 0.10441719999994348]",2,1,3,720,001,2024-11-20_17h24.27.720,Trial_mult,2023.2.1,59.96771338309516,2024-11-20 17h25.31.784983 -0500,
10,block1_trial10_attendright_leadtarget.wav,0,9,9,9,80.17693479999991,,,,,,,80.1769857999999,80.1937486999999,2.0165602000000717,86.04915329999994,86.04916379999997,86.0657023,86.0657023,88.71907699999997,"['1', '3', '2']","[1.2620445000000018, 2.4529611000000386]","[0.11114450000002307, 0.13792899999998554]",1,3,2,720,001,2024-11-20_17h24.27.720,Trial_mult,2023.2.1,59.96771338309516,2024-11-20 17h25.31.784983 -0500,
11,block1_trial11_attendright_leadmasker.wav,0,10,10,10,88.73381139999992,,,,,,,88.7338651,88.75095259999989,2.016613800000073,94.5893231,94.58933409999997,94.60587409999994,94.60587409999994,97.77663899999993,"['1', '2', '3']","[2.657105500000057, 2.9136032000000114, 3.0504273999999896]","[0.1296258999999509, 0.17615580000006048, 0.1113781999999901]",1,2,3,720,001,2024-11-20_17h24.27.720,Trial_mult,2023.2.1,59.96771338309516,2024-11-20 17h25.31.784983 -0500,
12,block1_trial12_attendleft_leadtarget.wav,0,11,11,11,97.79145549999998,,,,,,,97.7915248999999,97.8081641,2.0162937000000056,103.64658539999994,103.64659589999997,103.6633566999999,103.6633566999999,105.1323180999999,"['1', '3', '2']","[0.9284194000000525, 1.1837110000000166]","[0.12027519999992364, 0.1607069000000365]",1,3,2,720,001,2024-11-20_17h24.27.720,Trial_mult,2023.2.1,59.96771338309516,2024-11-20 17h25.31.784983 -0500,
13,block1_trial13_attendright_leadmasker.wav,0,12,12,12,105.14699299999995,,,,,,,105.14704329999995,105.16461089999996,2.015929799999981,110.98613699999999,110.9861482,111.0027313999999,111.0027313999999,114.62248409999995,"['2', '2', '3']","[2.4758911000000126, 3.419846000000007]","[0.11332079999999678, 0.15207910000003722]",2,2,3,720,001,2024-11-20_17h24.27.720,Trial_mult,2023.2.1,59.96771338309516,2024-11-20 17h25.31.784983 -0500,
14,block1_trial14_attendright_leadtarget.wav,0,13,13,13,114.63851669999997,,,,,,,114.6385843999999,114.65466239999989,2.017416400000002,120.5103279,120.51033769999992,120.52713899999992,120.52713899999992,123.2800805999999,"['2', '1', '3']","[1.5856592999999748, 2.511466599999949]","[0.13444449999997232, 0.13794530000006944]",2,1,3,720,001,2024-11-20_17h24.27.720,Trial_mult,2023.2.1,59.96771338309516,2024-11-20 17h25.31.784983 -0500,
15,block1_trial15_attendleft_leadmasker.wav,0,14,14,14,123.29486789999999,,,,,,,123.29491699999994,123.31204089999994,2.01643039999999,129.15014629999996,129.15015589999996,129.16655839999999,129.16655839999999,131.71986029999994,"['2', '3', '1']","[2.1601799999999685, 2.3688091000000213]","[0.14443949999997585, 0.1351767999999538]",2,3,1,720,001,2024-11-20_17h24.27.720,Trial_mult,2023.2.1,59.96771338309516,2024-11-20 17h25.31.784983 -0500,
16,block1_trial16_attendleft_leadmasker.wav,0,15,15,15,131.73495079999998,,,,,,,131.73500389999992,131.7521807999999,2.01694150000003,137.64046259999998,137.64047399999993,137.65696589999993,137.65696589999993,140.37731029999998,"['2', '3', '1']","[1.5503942999999936, 2.2376968999999463]","[0.09655599999996411, 0.11302840000007564]",2,3,1,720,001,2024-11-20_17h24.27.720,Trial_mult,2023.2.1,59.96771338309516,2024-11-20 17h25.31.784983 -0500,
17,block1_trial17_attendleft_leadtarget.wav,0,16,16,16,140.3918923,,,,,,,140.3919436,140.40896809999992,2.0164525999999796,146.23066619999997,146.23067589999994,146.2472732,146.2472732,148.8171901999999,"['3', '2', '1']","[0.9674696999999242, 1.7353792000000112]","[0.15171230000009928, 0.16142949999994016]",3,2,1,720,001,2024-11-20_17h24.27.720,Trial_mult,2023.2.1,59.96771338309516,2024-11-20 17h25.31.784983 -0500,
18,block1_trial18_attendleft_leadtarget.wav,0,17,17,17,148.83199589999992,,,,,,,148.83204489999991,148.84910459999992,2.0164554000000408,154.6877465,154.6877601,154.70432069999993,154.70432069999993,156.77330729999994,"['2', '3', '1']","[1.1583478000000014, 1.6322269000000915]","[0.12101189999998496, 0.11113139999997657]",2,3,1,720,001,2024-11-20_17h24.27.720,Trial_mult,2023.2.1,59.96771338309516,2024-11-20 17h25.31.784983 -0500,
19,block1_trial19_attendright_leadtarget.wav,0,18,18,18,156.7883943999999,,,,,,,156.7884439999999,156.80555029999994,2.0164819000000307,162.67739599999993,162.6774064,162.69400029999997,162.69400029999997,164.2126963999999,"['1', '2', '3']","[0.9855580999999347, 1.2166719999999032, 1.3767032999999174]","[0.17683290000002216, 0.17575750000003154, 0.12790189999998347]",1,2,3,720,001,2024-11-20_17h24.27.720,Trial_mult,2023.2.1,59.96771338309516,2024-11-20 17h25.31.784983 -0500,
20,block1_trial20_attendright_leadtarget.wav,0,19,19,19,164.22851129999992,,,,,,,164.22858429999997,164.24486679999995,2.0168683000000556,170.09951849999993,170.09952859999999,170.11608379999996,170.11608379999996,172.06918129999997,"['2', '3', '1']","[1.2200365999999576, 1.6116756000000123]","[0.13573719999999412, 0.12892329999999674]",2,3,1,720,001,2024-11-20_17h24.27.720,Trial_mult,2023.2.1,59.96771338309516,2024-11-20 17h25.31.784983 -0500,
21,block1_trial21_attendright_leadtarget.wav,0,20,20,20,172.08402049999995,,,,,,,172.084072,172.1010723999999,2.0164579000000913,177.9561832999999,177.95619299999998,177.97262519999992,177.97262519999992,179.6258261999999,"['2', '3', '1']","[0.8899557000000868, 1.3958044000000882]","[0.16006819999995514, 0.1742320999999265]",2,3,1,720,001,2024-11-20_17h24.27.720,Trial_mult,2023.2.1,59.96771338309516,2024-11-20 17h25.31.784983 -0500,
