audio,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,Instructions.started,resp_start.started,Instruction.stopped,resp_start.keys,resp_start.rt,resp_start.duration,trial.started,cross.started,sound_1.started,trial.stopped,Responses.started,respp.started,key_resp.started,Responses.stopped,key_resp.keys,key_resp.rt,key_resp.duration,response1,response2,response3,cross.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.008511299965903163,0.011370299966074526,0.011370299966074526,1.139771300018765,space,1.1253176999744028,None,,,,,,,,,,,,,,,,279981,001,2024-09-11_15h33.57.629,Trial_mult,2023.2.1,59.96947554188729,2024-09-11 15h34.03.208024 -0400,
block1_trial1_attendright_leadtarget.wav,0,0,0,0,1.196789599955082,,,,,,,,,1.1880722999339923,1.196789599955082,2.00746390002314,7.0799007000168785,7.079915300011635,7.085144800017588,7.085144800017588,8.583327900036238,"['2', '1', '3']","[0.9819602000061423, 1.2151654999470338]","[0.10248480003792793, 0.1068442000541836]",2,1,3,,279981,001,2024-09-11_15h33.57.629,Trial_mult,2023.2.1,59.96947554188729,2024-09-11 15h34.03.208024 -0400,
block1_trial2_attendright_leadmasker.wav,0,1,1,1,8.598662200034596,,,,,,,,,8.58471239998471,8.598662200034596,2.009240800049156,14.350275699980557,14.35029349999968,14.366581200039946,14.366581200039946,15.632050700020045,"['3', '2', '2']","[1.4837764999829233, 1.0438003999879584]","[0.06389760004822165, 0.1316956999944523]",3,2,2,14.34975279995706,279981,001,2024-09-11_15h33.57.629,Trial_mult,2023.2.1,59.96947554188729,2024-09-11 15h34.03.208024 -0400,
block1_trial3_attendleft_leadmasker.wav,0,2,2,2,15.64609539997764,,,,,,,,,15.63294069992844,15.64609539997764,2.0084251000080258,21.39775699994061,21.397775399964303,21.414429800002836,21.414429800002836,21.399676600005478,"['2', '2', '2']","[1.257843800005503, 1.5015035999240354]","[0.14030540001112968, 0.10538070008624345]",2,2,2,21.397534299991094,279981,001,2024-09-11_15h33.57.629,Trial_mult,2023.2.1,59.96947554188729,2024-09-11 15h34.03.208024 -0400,
block1_trial4_attendright_leadtarget.wav,0,3,3,3,21.414429800002836,,,,,,,,,21.40045940002892,21.414429800002836,2.0085897999815643,27.165258700028062,27.165282899979502,27.181368899997324,27.181368899997324,28.396542500006035,"['1', '1', '1']","[1.5866543999873102, 0.9348444000352174]","[0.15543359995353967, 0.14093080000020564]",1,1,1,27.165007899980992,279981,001,2024-09-11_15h33.57.629,Trial_mult,2023.2.1,59.96947554188729,2024-09-11 15h34.03.208024 -0400,
block1_trial5_attendleft_leadtarget.wav,0,4,4,4,28.411155799985863,,,,,,,,,28.397033000015654,28.411155799985863,2.009449700010009,34.16245369997341,34.162469499977306,34.178695300011896,34.178695300011896,34.16459830000531,"['1', '1', '1']","[1.1989519000053406, 1.4327540000667796]","[0.11966720002237707, 0.1470836999360472]",1,1,1,34.16224830003921,279981,001,2024-09-11_15h33.57.629,Trial_mult,2023.2.1,59.96947554188729,2024-09-11 15h34.03.208024 -0400,
block1_trial6_attendright_leadtarget.wav,0,5,5,5,34.178695300011896,,,,,,,,,34.1652057999745,34.178695300011896,2.0089447000063956,39.93018519994803,39.93020349997096,39.94650570000522,39.94650570000522,41.62716949998867,"['3', '3', '3']","[1.1004484000150114, 1.3798599999863654]","[0.1453714999370277, 0.15083629998844117]",3,3,3,39.929880299954675,279981,001,2024-09-11_15h33.57.629,Trial_mult,2023.2.1,59.96947554188729,2024-09-11 15h34.03.208024 -0400,
block1_trial7_attendleft_leadtarget.wav,0,6,6,6,41.64185399992857,,,,,,,,,41.62767489999533,41.64185399992857,2.009005400002934,47.393313899985515,47.39333420002367,47.4094876999734,47.4094876999734,49.09057829994708,"['3', '3', '2']","[1.6655198999214917, 1.3983397000702098]","[0.14875220006797463, 0.14671949995681643]",3,3,2,47.39290159998927,279981,001,2024-09-11_15h33.57.629,Trial_mult,2023.2.1,59.96947554188729,2024-09-11 15h34.03.208024 -0400,
block1_trial8_attendleft_leadtarget.wav,0,7,7,7,49.10461199993733,,,,,,,,,49.09114359994419,49.10461199993733,2.008728799992241,54.85601500002667,54.85603359993547,54.87236679997295,54.87236679997295,54.858814700040966,"['2', '1', '1']","[1.6735758000286296, 1.9439814999932423]","[0.1439690999686718, 0.14350020000711083]",2,1,1,54.85582489997614,279981,001,2024-09-11_15h33.57.629,Trial_mult,2023.2.1,59.96947554188729,2024-09-11 15h34.03.208024 -0400,
block1_trial9_attendleft_leadmasker.wav,0,8,8,8,54.87236679997295,,,,,,,,,54.85962190001737,54.87236679997295,2.007634500041604,60.623613800038584,60.62362930004019,60.64013630000409,60.64013630000409,62.3538798999507,"['3', '3', '3']","[1.1761637999443337, 1.4456122999545187]","[0.13001220009755343, 0.1390504000009969]",3,3,3,60.623419699957594,279981,001,2024-09-11_15h33.57.629,Trial_mult,2023.2.1,59.96947554188729,2024-09-11 15h34.03.208024 -0400,
,,,,,62.36850460001733,,,,,,,,,62.35446159995627,62.36850460001733,2.0090038999915123,,,,,,,,,,,,,,,,,,,,
