trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,audio,thisRow.t,notes,Instruction.started,Instructions.started,resp_start.started,Instruction.stopped,resp_start.keys,resp_start.rt,resp_start.duration,trial.started,cross.started,sound_1.started,trial.stopped,Responses.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.006238800007849932,0.03858370007947087,0.03858370007947087,7.979040700010955,space,7.9394276002421975,None,,,,,,043419,001,2024-09-10_15h20.56.689,Trial_mult,2023.2.1,60.00020407209664,2024-09-10 15h21.08.432681 -0400,
,,,,,8.028600399848074,,,,,,,,,7.998451199848205,8.028600399848074,2.000784100033343,13.733084499835968,13.733097999822348,,,,,,,,
