audio,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,Instructions.started,resp_start.started,Instruction.stopped,resp_start.keys,resp_start.rt,resp_start.duration,trial.started,cross.started,sound_1.started,trial.stopped,Responses.started,respp.started,key_resp.started,Responses.stopped,key_resp.keys,key_resp.rt,key_resp.duration,response1,response2,response3,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.006430600071325898,0.03758980007842183,0.03758980007842183,1.9902274999767542,space,1.9418971999548376,None,,,,,,,,,,,,,,,941779,001,2024-09-04_13h02.17.918,Trial_mult,2023.2.1,59.83355498920339,2024-09-04 13h02.27.778308 -0400,
block1_trial1_attendright_leadtarget.wav,0,0,0,0,2.0229917999822646,,,,,,,,,1.999856400070712,2.0229917999822646,2.0007652000058442,7.744044499937445,7.7440593999344856,13.498466100078076,13.498466100078076,15.96828190004453,"['2', '1', '3']","[1.9369252999313176, 2.224879699992016]","[0.09551180014386773, 0.12031259993091226]",2,1,3,941779,001,2024-09-04_13h02.17.918,Trial_mult,2023.2.1,59.83355498920339,2024-09-04 13h02.27.778308 -0400,
,,,,,15.983273799996823,,,,,,,,,15.970004400005564,15.983273799996823,,,,,,,,,,,,,,,,,,,,
