audio,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,Instructions.started,resp_start.started,Instruction.stopped,resp_start.keys,resp_start.rt,resp_start.duration,trial.started,cross.started,sound_1.started,trial.stopped,Responses.started,respp.started,key_resp.started,respp.stopped,key_resp.stopped,Responses.stopped,key_resp.keys,key_resp.rt,key_resp.duration,response1,response2,response3,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.004391800001030788,0.00837250001495704,0.00837250001495704,1.1336567999969702,space,1.1230137999809813,None,,,,,,,,,,,,,,,,,146048,001,2024-09-05_14h20.03.010,Trial_mult,2023.2.1,60.20194139153512,2024-09-05 14h20.17.931073 -0400,
block1_trial1_attendright_leadtarget.wav,0,0,0,0,1.216723000019556,,,,,,,,,1.2062445000046864,1.216723000019556,2.0102565999841318,6.900188300001901,6.900197200011462,12.63464840000961,12.63464840000961,16.889542100019753,16.889542100019753,16.873963599995477,['1'],[3.150189300009515],[0.1519720999931451],1,NA,NA,146048,001,2024-09-05_14h20.03.010,Trial_mult,2023.2.1,60.20194139153512,2024-09-05 14h20.17.931073 -0400,
,,,,,16.889542100019753,,,,,,,,,16.877602199994726,16.889542100019753,,,,,,,,,,,,,,,,,,,,,,
