audio,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,Instructions.started,resp_start.started,Instruction.stopped,resp_start.keys,resp_start.rt,resp_start.duration,trial.started,cross.started,sound_1.started,trial.stopped,Responses.started,respp.started,key_resp.started,Responses.stopped,key_resp.keys,key_resp.rt,key_resp.duration,response1,response2,response3,cross.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.006610999931581318,0.00935489998664707,0.00935489998664707,1.2322221999056637,space,1.219971099984832,None,,,,,,,,,,,,,,,,751563,001,2024-09-10_15h46.04.897,Trial_mult,2023.2.1,60.30493794035818,2024-09-10 15h46.14.786096 -0400,
block1_trial1_attendright_leadtarget.wav,0,0,0,0,1.2953018000116572,,,,,,,,,1.2885217999573797,1.2953018000116572,2.0079964000033215,6.996762499911711,6.996779299923219,7.013203499955125,7.013203499955125,8.727040899917483,"['2', '1', '3']","[1.201666000066325, 1.4371935999952257]","[0.09892059990670532, 0.09740500000771135]",2,1,3,,751563,001,2024-09-10_15h46.04.897,Trial_mult,2023.2.1,60.30493794035818,2024-09-10 15h46.14.786096 -0400,
block1_trial2_attendright_leadmasker.wav,0,1,1,1,8.741666199988686,,,,,,,,,8.728981399908662,8.741666199988686,2.0075997000094503,14.49321769992821,14.493235899950378,14.509496100014076,14.509496100014076,15.576164099969901,"['1', '1', '1']","[0.6152009000070393, 0.8582255999790505]","[0.11556970002129674, 0.08961989998351783]",1,1,1,14.492847799905576,751563,001,2024-09-10_15h46.04.897,Trial_mult,2023.2.1,60.30493794035818,2024-09-10 15h46.14.786096 -0400,
block1_trial3_attendleft_leadmasker.wav,0,2,2,2,15.589381799916737,,,,,,,,,15.577326999977231,15.589381799916737,2.007860800018534,21.341061700019054,21.34107949992176,21.357217799988575,21.357217799988575,22.739391200011596,"['3', '2', '3']","[0.4652089999290183, 0.7402453999966383]","[0.13185210002120584, 0.132271199952811]",3,2,3,21.3408374999417,751563,001,2024-09-10_15h46.04.897,Trial_mult,2023.2.1,60.30493794035818,2024-09-10 15h46.14.786096 -0400,
block1_trial4_attendright_leadtarget.wav,0,3,3,3,22.753423499991186,,,,,,,,,22.74000240000896,22.753423499991186,2.0080635000485927,28.505038899951614,28.505063299904577,28.52113060001284,28.52113060001284,29.737748499959707,"['1', '2', '3']","[0.5185492999153212, 0.9637193999951705]","[0.14400660002138466, 0.11282639997079968]",1,2,3,28.504784799995832,751563,001,2024-09-10_15h46.04.897,Trial_mult,2023.2.1,60.30493794035818,2024-09-10 15h46.14.786096 -0400,
,,,,,29.75090659991838,,,,,,,,,29.738557199947536,29.75090659991838,,,,,,,,,,,,,,,,,,,,,
