audio,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,Instructions.started,resp_start.started,Instruction.stopped,resp_start.keys,resp_start.rt,resp_start.duration,trial.started,cross.started,sound_1.started,trial.stopped,Responses.started,respp.started,key_resp.started,Responses.stopped,key_resp.keys,key_resp.rt,key_resp.duration,response1,response2,response3,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.011914900009287521,0.017523599992273375,0.017523599992273375,1.0635710000060499,space,1.031401200016262,None,,,,,,,,,,,,,,,029454,001,2024-09-21_21h23.20.420,Trial_mult,2023.2.1,60.19654170908043,2024-09-21 21h23.28.888652 -0400,
block1_trial1_attendright_leadtarget.wav,0,0,0,0,1.0786467999860179,,,,,,,,,1.0790100999874994,1.0955329999851529,2.0098612000001594,6.830451499990886,6.830466699990211,6.84657110000262,6.84657110000262,8.194557499984512,"['2', '3', '1']","[0.7791480999730993, 1.0681048999831546]","[0.12215560002368875, 0.14079320000018924]",2,3,1,029454,001,2024-09-21_21h23.20.420,Trial_mult,2023.2.1,60.19654170908043,2024-09-21 21h23.28.888652 -0400,
,,,,,8.209407799993642,,,,,,,,,8.209509799984517,8.22584420000203,,,,,,,,,,,,,,,,,,,,
