audio,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,Instructions.started,resp_start.started,Instruction.stopped,resp_start.keys,resp_start.rt,resp_start.duration,trial.started,cross.started,sound_1.started,trial.stopped,Responses.started,respp.started,key_resp.started,Responses.stopped,key_resp.keys,key_resp.rt,key_resp.duration,response1,response2,response3,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.006674100004602224,0.014725300003192388,0.014725300003192388,0.8987706000043545,space,0.8667144000064582,None,,,,,,,,,,,,,,,517262,001,2024-09-19_09h19.46.756,Trial_mult,2023.2.1,60.321271094152195,2024-09-19 09h19.53.270202 -0400,
block1_trial1_attendright_leadtarget.wav,0,0,0,0,0.9763772000005702,,,,,,,,,0.9764463000028627,0.9870427999994718,2.0085719999915455,6.664044999997714,6.66408699999738,6.680433899993659,6.680433899993659,8.49471659999108,"['2', '3', '1']","[1.3032463999988977, 1.5606107999919914]","[0.12793380000221077, 0.09330590000899974]",2,3,1,517262,001,2024-09-19_09h19.46.756,Trial_mult,2023.2.1,60.321271094152195,2024-09-19 09h19.53.270202 -0400,
block1_trial2_attendright_leadmasker.wav,0,1,1,1,8.50843519999762,,,,,,,,,8.508531999992556,8.525090099996305,,14.376722300003166,14.376729800002067,14.392864199995529,14.392864199995529,18.51477929999237,['2'],[2.8634006999927806],[0.11880640000163112],2,NA,NA,517262,001,2024-09-19_09h19.46.756,Trial_mult,2023.2.1,60.321271094152195,2024-09-19 09h19.53.270202 -0400,
,,,,,18.531280600000173,,,,,,,,,18.531434000004083,18.547809299998335,,,,,,,,,,,,,,,,,,,,
