audio,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,Instructions.started,resp_start.started,Instruction.stopped,resp_start.keys,resp_start.rt,resp_start.duration,trial.started,cross.started,sound_1.started,trial.stopped,Responses.started,respp.started,key_resp.started,Responses.stopped,key_resp.keys,key_resp.rt,key_resp.duration,response1,response2,response3,cross.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.0047338000003946945,0.013048799999523908,0.013048799999523908,1.1573917999994592,space,1.1410164999979315,None,,,,,,,,,,,,,,,,663062,001,2024-08-28_10h16.07.879,Trial_mult,2023.2.1,60.46333050231854,2024-08-28 10h16.13.221739 -0400,
block1_trial1_attendright_leadtarget.wav,0,0,0,0,1.2343044000008376,,,,,,,,,1.2245012999992468,1.2343044000008376,2.01063769999746,6.908679400003166,6.908691600001475,12.658462899998995,12.658462899998995,14.595954199998232,"['1', '2', '3']","[1.171764800004894, 1.5423530000043684]","[0.13878100000147242, 0.12303619999875082]",1,2,3,,663062,001,2024-08-28_10h16.07.879,Trial_mult,2023.2.1,60.46333050231854,2024-08-28 10h16.13.221739 -0400,
block1_trial2_attendright_leadmasker.wav,0,1,1,1,14.609138599997095,,,,,,,,,14.59972579999885,14.609138599997095,2.0147801999992225,20.354190500002005,20.354204800001753,26.10527159999765,26.10527159999765,27.61834799999633,"['3', '2', '1']","[0.9631821000002674, 1.2448383000009926]","[0.08210030000191182, 0.08067830000072718]",3,2,1,,663062,001,2024-08-28_10h16.07.879,Trial_mult,2023.2.1,60.46333050231854,2024-08-28 10h16.13.221739 -0400,
,,,,,27.63358889999654,,,,,,,,,27.618775700000697,27.63358889999654,2.010154199997487,33.385786999999254,33.38580479999655,,,,,,,,,,33.3856100999983,,,,,,,,
