audio,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,Instructions.started,resp_start.started,Instruction.stopped,resp_start.keys,resp_start.rt,resp_start.duration,trial.started,cross.started,sound_1.started,cross.stopped,trial.stopped,Responses.started,respp.started,key_resp.started,Responses.stopped,key_resp.keys,key_resp.rt,key_resp.duration,response1,response2,response3,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.01067210000474006,0.013567100002546795,0.013567100002546795,2.6157742999930633,space,2.595687499997439,None,,,,,,,,,,,,,,,,783454,001,2024-09-18_10h21.38.315,Trial_mult,2023.2.1,60.170499123445,2024-09-18 10h21.45.036202 -0400,
block1_trial1_attendright_leadtarget.wav,0,0,0,0,2.631393699994078,,,,,,,,,2.622434399992926,2.631393699994078,2.0104961000033654,8.382493299999624,8.382784999994328,8.382805400004145,8.399387099998421,8.399387099998421,10.178920000005746,"['3', '2', '1']","[1.3088645999960136, 1.5397588999912841]","[0.06098569999448955, 0.08588870000676252]",3,2,1,783454,001,2024-09-18_10h21.38.315,Trial_mult,2023.2.1,60.170499123445,2024-09-18 10h21.45.036202 -0400,
block1_trial2_attendright_leadmasker.wav,0,1,1,1,10.194223800004693,,,,,,,,,10.18060959999275,10.194223800004693,2.0089974000002258,15.945360800003982,15.945590200004517,15.94560740000452,15.96180390000518,15.96180390000518,17.32640609999362,"['1', '2', '3']","[0.7987426999898162, 1.1330779999989318]","[0.16577580000739545, 0.07151889998931438]",1,2,3,783454,001,2024-09-18_10h21.38.315,Trial_mult,2023.2.1,60.170499123445,2024-09-18 10h21.45.036202 -0400,
block1_trial3_attendleft_leadmasker.wav,0,2,2,2,17.341371899994556,,,,,,,,,17.327019499993185,17.341371899994556,2.0097301000059815,23.092367299992475,23.092631899999105,23.09264869999606,23.10924449999584,23.10924449999584,24.806672799997614,"['2', '2', '2']","[1.2921479000069667, 1.514091400007601]","[0.1066694000037387, 0.08580859999347012]",2,2,2,783454,001,2024-09-18_10h21.38.315,Trial_mult,2023.2.1,60.170499123445,2024-09-18 10h21.45.036202 -0400,
block1_trial4_attendright_leadtarget.wav,0,3,3,3,24.82097729999805,,,,,,,,,24.80726329999743,24.82097729999805,2.008369400005904,30.746066599996993,30.74206220000633,30.742083100005402,30.746066599996993,30.746066599996993,32.4214873000019,"['3', '1', '2']","[0.8830501999909757, 1.4132869000022765]","[0.1569493999995757, 0.10493129999667872]",3,1,2,783454,001,2024-09-18_10h21.38.315,Trial_mult,2023.2.1,60.170499123445,2024-09-18 10h21.45.036202 -0400,
block1_trial5_attendleft_leadtarget.wav,0,4,4,4,32.43347129999893,,,,,,,,,32.42220210000232,32.43347129999893,2.0064861999999266,38.18471499999578,38.18492620000325,38.18494360000477,38.20127330000105,38.20127330000105,42.42328689999704,"['2', '2']","[0.9687972000101581, 1.1581044000049587]","[0.0654486999992514, 0.10343960000318475]",2,2,NA,783454,001,2024-09-18_10h21.38.315,Trial_mult,2023.2.1,60.170499123445,2024-09-18 10h21.45.036202 -0400,
block1_trial6_attendright_leadtarget.wav,0,5,5,5,42.4394578999927,,,,,,,,,42.42413899999519,42.4394578999927,2.011684100012644,,48.17414210000425,48.17416189999494,48.19062550000672,48.19062550000672,52.42937749999692,"['3', '1']","[0.8806332999956794, 1.3944838999886997]","[0.1138035000039963, 0.17107100000430364]",3,1,NA,783454,001,2024-09-18_10h21.38.315,Trial_mult,2023.2.1,60.170499123445,2024-09-18 10h21.45.036202 -0400,
block1_trial7_attendleft_leadtarget.wav,0,6,6,6,52.44549689999258,,,,,,,,,52.43033810000634,52.44549689999258,2.0007710000063526,,58.359290899999905,58.35930399999779,58.36311469999782,58.36311469999782,59.59346299999743,"['1', '2', '3']","[0.31793869999819435, 0.6038731000007829]","[0.1251979999942705, 0.025625700000091456]",1,2,3,783454,001,2024-09-18_10h21.38.315,Trial_mult,2023.2.1,60.170499123445,2024-09-18 10h21.45.036202 -0400,
block1_trial8_attendleft_leadtarget.wav,0,7,7,7,59.60912880000251,,,,,,,,,59.593834100000095,59.60912880000251,2.0104269000003114,65.36013840000669,65.36031509999884,65.36032789999445,65.3770416000043,65.3770416000043,66.74432539999543,"['2', '1', '3']","[0.7786689000058686, 0.9590341000002809]","[0.12223709998943377, 0.12295479999738745]",2,1,3,783454,001,2024-09-18_10h21.38.315,Trial_mult,2023.2.1,60.170499123445,2024-09-18 10h21.45.036202 -0400,
block1_trial9_attendleft_leadmasker.wav,0,8,8,8,66.75634779999382,,,,,,,,,66.74499160000414,66.75634779999382,2.0064683000091463,72.50744970000233,72.50769820000278,72.50771760000498,72.5242098000017,72.5242098000017,74.05487140000332,"['2', '3', '1']","[0.9294335000013234, 1.1716957000026014]","[0.07998239999869838, 0.07164530000591185]",2,3,1,783454,001,2024-09-18_10h21.38.315,Trial_mult,2023.2.1,60.170499123445,2024-09-18 10h21.45.036202 -0400,
