audio,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,Instructions.started,resp_start.started,Instruction.stopped,resp_start.keys,resp_start.rt,resp_start.duration,trial.started,cross.started,sound_1.started,trial.stopped,Responses.started,respp.started,key_resp.started,Responses.stopped,key_resp.keys,key_resp.rt,key_resp.duration,response1,response2,response3,cross.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.010624900000038906,0.014317099999971106,0.014317099999971106,0.9702873000005638,space,0.9520948000008502,None,,,,,,,,,,,,,,,,407903,001,2024-09-12_11h57.49.169,Trial_mult,2023.2.1,60.380056225362736,2024-09-12 11h57.54.784562 -0400,
block1_trial1_attendright_leadtarget.wav,0,0,0,0,1.0391042000010202,,,,,,,,,1.027740100000301,1.0391042000010202,2.0099279999994906,6.736578000000009,6.736598600000434,6.752665500000148,6.752665500000148,8.551499799999874,"['2', '1', '3']","[1.319390900000144, 1.525427900000068]","[0.12093559999993886, 0.11846239999977115]",2,1,3,,407903,001,2024-09-12_11h57.49.169,Trial_mult,2023.2.1,60.380056225362736,2024-09-12 11h57.54.784562 -0400,
block1_trial2_attendright_leadmasker.wav,0,1,1,1,8.566900900001201,,,,,,,,,8.555129100001068,8.566900900001201,2.0043072999997094,14.49355900000046,14.493573699999615,14.498486700000285,14.498486700000285,15.114650900000925,"['3', '2', '1']","[1.7823353000003408, 0.4085058000000572]","[0.14838939999935974, 0.16876040000170178]",3,2,1,,407903,001,2024-09-12_11h57.49.169,Trial_mult,2023.2.1,60.380056225362736,2024-09-12 11h57.54.784562 -0400,
block1_trial3_attendleft_leadmasker.wav,0,2,2,2,15.129854900000282,,,,,,,,,15.11519650000082,15.129854900000282,2.009625099999539,21.05726549999963,21.057281800000055,21.060985600001004,21.060985600001004,22.894216300001062,"['1', '3', '2']","[0.6063238000006095, 1.5272308999992674]","[0.13088740000057442, 0.11187690000042494]",1,3,2,21.060985600001004,407903,001,2024-09-12_11h57.49.169,Trial_mult,2023.2.1,60.380056225362736,2024-09-12 11h57.54.784562 -0400,
block1_trial4_attendright_leadtarget.wav,0,3,3,3,22.908544600000823,,,,,,,,,22.894565099999454,22.908544600000823,2.0087491999984195,28.836529500000324,28.836541200000283,28.845587100000557,28.845587100000557,28.837281500000245,"['2', '1', '1']","[1.8305772000003344, 2.429545400000279]","[0.11935979999907431, 0.11435700000038196]",2,1,1,28.845587100000557,407903,001,2024-09-12_11h57.49.169,Trial_mult,2023.2.1,60.380056225362736,2024-09-12 11h57.54.784562 -0400,
block1_trial5_attendleft_leadtarget.wav,0,4,4,4,28.845587100000557,,,,,,,,,28.837820000000647,28.845587100000557,1.9998512000001938,34.59390420000091,34.5939240000007,34.61054950000107,34.61054950000107,37.72334480000063,"['2', '1', '3']","[2.708246299998791, 2.9050468999994337]","[0.06724290000056499, 0.07592329999897629]",2,1,3,,407903,001,2024-09-12_11h57.49.169,Trial_mult,2023.2.1,60.380056225362736,2024-09-12 11h57.54.784562 -0400,
block1_trial6_attendright_leadtarget.wav,0,5,5,5,37.73657230000026,,,,,,,,,37.72389250000015,37.73657230000026,2.0060678999998345,43.48932500000046,43.48933700000089,43.50538310000047,43.50538310000047,45.68397300000106,"['3', '3', '2']","[3.109609499999351, 1.9560822999992524]","[0.09846160000051896, 0.0801776999996946]",3,3,2,43.48917910000091,407903,001,2024-09-12_11h57.49.169,Trial_mult,2023.2.1,60.380056225362736,2024-09-12 11h57.54.784562 -0400,
block1_trial7_attendleft_leadtarget.wav,0,6,6,6,45.698336700001164,,,,,,,,,45.68437740000081,45.698336700001164,2.006942699999854,51.44744560000072,51.44745150000017,51.46394340000006,51.46394340000006,51.448222400000304,"['2', '1', '1']","[2.169592399999601, 2.3812047999999777]","[0.09151050000036776, 0.11299809999945865]",2,1,1,,407903,001,2024-09-12_11h57.49.169,Trial_mult,2023.2.1,60.380056225362736,2024-09-12 11h57.54.784562 -0400,
,,,,,51.46394340000006,,,,,,,,,51.44850050000059,51.46394340000006,2.0101644999995187,,,,,,,,,,,,,,,,,,,,
