audio,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,Instructions.started,resp_start.started,Instruction.stopped,resp_start.keys,resp_start.rt,resp_start.duration,trial.started,cross.started,sound_1.started,trial.stopped,Responses.started,respp.started,key_resp.started,Responses.stopped,key_resp.keys,key_resp.rt,key_resp.duration,response1,response2,response3,cross.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.010459400014951825,0.013610999914817512,0.013610999914817512,4.234451099997386,space,4.2141632999992,None,,,,,,,,,,,,,,,,037557,001,2024-09-10_15h16.02.197,Trial_mult,2023.2.1,60.18809983849602,2024-09-10 15h16.08.277524 -0400,
block1_trial1_attendright_leadtarget.wav,0,0,0,0,4.250238299951889,,,,,,,,,4.241568899946287,4.250238299951889,2.010908600059338,9.985290399985388,9.985311100026593,10.001758400001563,10.001758400001563,11.83208670001477,"['2', '3', '1']","[1.2605827000224963, 1.6057993000140414]","[0.10196979995816946, 0.10863919998519123]",2,3,1,,037557,001,2024-09-10_15h16.02.197,Trial_mult,2023.2.1,60.18809983849602,2024-09-10 15h16.08.277524 -0400,
block1_trial2_attendright_leadmasker.wav,0,1,1,1,11.846332299988717,,,,,,,,,11.834115299978293,11.846332299988717,2.0072904999833554,17.597776099923067,17.597799699986354,17.613938099937513,17.613938099937513,21.835935099981725,"['3', '3']","[1.2470453000860289, 1.6142606000648811]","[0.11333649989683181, 0.08440859999973327]",3,3,NA,17.59743680001702,037557,001,2024-09-10_15h16.02.197,Trial_mult,2023.2.1,60.18809983849602,2024-09-10 15h16.08.277524 -0400,
