audio,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,Instructions.started,resp_start.started,Instruction.stopped,resp_start.keys,resp_start.rt,resp_start.duration,trial.started,cross.started,sound_1.started,cross.stopped,trial.stopped,Responses.started,respp.started,key_resp.started,Responses.stopped,key_resp.keys,key_resp.rt,key_resp.duration,response1,response2,response3,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.008564599993405864,0.011604100000113249,0.011604100000113249,1.2036035000055563,space,1.1821344000054523,None,,,,,,,,,,,,,,,,518741,001,2024-09-05_15h51.10.943,Trial_mult,2023.2.1,60.0936619881852,2024-09-05 15h51.17.002457 -0400,
block1_trial1_attendright_leadtarget.wav,0,0,0,0,1.2189689999795519,,,,,,,,,1.2122114999801852,1.2189689999795519,2.010035000013886,6.970398599980399,6.970555199979572,6.970570699981181,12.704628699983004,12.704628699983004,14.83397049998166,"['1', '2', '3']","[1.649344800011022, 1.904810300009558]","[0.10210709998500533, 0.08648570001241751]",1,2,3,518741,001,2024-09-05_15h51.10.943,Trial_mult,2023.2.1,60.0936619881852,2024-09-05 15h51.17.002457 -0400,
block1_trial2_attendright_leadmasker.wav,0,1,1,1,14.848793699988164,,,,,,,,,14.835968400002457,14.848793699988164,2.007806800014805,20.779012599989073,20.7769346999994,20.776945299992803,26.350793399993563,26.350793399993563,27.997675099992193,"['1', '2', '3']","[1.181302599987248, 1.4021056999918073]","[0.08510789999854751, 0.10125320000224747]",1,2,3,518741,001,2024-09-05_15h51.10.943,Trial_mult,2023.2.1,60.0936619881852,2024-09-05 15h51.17.002457 -0400,
block1_trial3_attendleft_leadmasker.wav,0,2,2,2,28.01276459998917,,,,,,,,,27.99821140000131,28.01276459998917,2.0095177999755833,33.763787999982014,33.76398489999701,33.76400450000074,39.51463849999709,39.51463849999709,41.42996310000308,"['1', '3', '2']","[0.8299511999939568, 1.6684883999987505]","[0.14861810000729747, 0.13032470000325702]",1,3,2,518741,001,2024-09-05_15h51.10.943,Trial_mult,2023.2.1,60.0936619881852,2024-09-05 15h51.17.002457 -0400,
block1_trial4_attendright_leadtarget.wav,0,3,3,3,41.44278209999902,,,,,,,,,41.43048260000069,41.44278209999902,2.0071692999918014,47.19381669998984,47.194024299999,47.194045599986566,52.944554599991534,52.944554599991534,54.477302099985536,"['3', '3', '3']","[1.1205995999916922, 1.3541675999877043]","[0.129246399999829, 0.06308120000176132]",3,3,3,518741,001,2024-09-05_15h51.10.943,Trial_mult,2023.2.1,60.0936619881852,2024-09-05 15h51.17.002457 -0400,
block1_trial5_attendleft_leadtarget.wav,0,4,4,4,54.49037200000021,,,,,,,,,54.47795149998274,54.49037200000021,2.0076007999887224,60.24123799998779,60.24142649999703,60.241445999999996,65.99260909997975,65.99260909997975,67.12498910000431,"['2', '1', '2']","[0.6446280999807641, 0.8475880999758374]","[0.15283440001076087, 0.13169820001348853]",2,1,2,518741,001,2024-09-05_15h51.10.943,Trial_mult,2023.2.1,60.0936619881852,2024-09-05 15h51.17.002457 -0400,
block1_trial6_attendright_leadtarget.wav,0,5,5,5,67.13908649998484,,,,,,,,,67.12552529998356,67.13908649998484,2.008610199991381,73.07230489997892,73.06922129998566,73.0692449999915,78.64124529997935,78.64124529997935,80.3382605999941,"['2', '2', '2']","[1.3353507999854628, 1.5204220000014175]","[0.07510460002231412, 0.06745790000422858]",2,2,2,518741,001,2024-09-05_15h51.10.943,Trial_mult,2023.2.1,60.0936619881852,2024-09-05 15h51.17.002457 -0400,
block1_trial7_attendleft_leadtarget.wav,0,6,6,6,80.35290369999711,,,,,,,,,80.33888589998242,80.35290369999711,2.0088322999945376,86.10434299998451,86.10457159997895,86.10459199998877,91.85518449998926,91.85518449998926,93.13693569999305,"['3', '1', '2']","[0.6807422999991104, 0.9641923999879509]","[0.15560379999806173, 0.17631129999062978]",3,1,2,518741,001,2024-09-05_15h51.10.943,Trial_mult,2023.2.1,60.0936619881852,2024-09-05 15h51.17.002457 -0400,
block1_trial8_attendleft_leadtarget.wav,0,7,7,7,93.15147589999833,,,,,,,,,93.13759810000192,93.15147589999833,2.0089508999953978,98.90254729997832,98.90313150000293,98.90315490000648,104.65363499999512,104.65363499999512,105.80158830000437,"['2', '2', '2']","[0.6790018000174314, 0.9265387000050396]","[0.11775619999389164, 0.07970339999883436]",2,2,2,518741,001,2024-09-05_15h51.10.943,Trial_mult,2023.2.1,60.0936619881852,2024-09-05 15h51.17.002457 -0400,
block1_trial9_attendleft_leadmasker.wav,0,8,8,8,105.81690899998648,,,,,,,,,105.80214669997804,105.81690899998648,2.009840600017924,111.56774379999842,111.5678934000025,111.56790669998736,117.30251379997935,117.30251379997935,120.09598579999874,"['1', '1', '1']","[2.1863873999973293, 2.5605653999955393]","[0.13138760000583716, 0.09551519999513403]",1,1,1,518741,001,2024-09-05_15h51.10.943,Trial_mult,2023.2.1,60.0936619881852,2024-09-05 15h51.17.002457 -0400,
