audio,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,Instructions.started,resp_start.started,Instruction.stopped,resp_start.keys,resp_start.rt,resp_start.duration,trial.started,cross.started,sound_1.started,trial.stopped,Responses.started,respp.started,key_resp.started,Responses.stopped,key_resp.keys,key_resp.rt,key_resp.duration,response1,response2,response3,cross.stopped,sound_1.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.0043304999999236315,0.013102600001730025,0.013102600001730025,0.9668136000109371,space,0.9344013000081759,None,,,,,,,,,,,,,,,,,454977,001,2024-09-21_20h56.42.515,Trial_mult,2023.2.1,60.21270741765598,2024-09-21 20h56.48.638001 -0400,
block1_trial1_attendright_leadtarget.wav,0,0,0,0,0.9788237000175286,,,,,,,,,0.9789447000075597,0.9960578000172973,2.005631899985019,6.729253500001505,6.729272299999138,6.745285400014836,6.745285400014836,8.094313600013265,"['2', '3', '1']","[0.7602993000182323, 1.0050058000197168]","[0.08794319999287836, 0.0914852999849245]",2,3,1,,,454977,001,2024-09-21_20h56.42.515,Trial_mult,2023.2.1,60.21270741765598,2024-09-21 20h56.48.638001 -0400,
block1_trial2_attendright_leadmasker.wav,0,1,1,1,8.10806220001541,,,,,,,,,8.108163500000956,8.12451379999402,2.0077064000070095,13.86017170001287,13.86019030000898,13.87567529999069,13.87567529999069,14.577407600008883,"['2', '2', '2']","[0.2602284000022337, 0.4634467999858316]","[0.09281539998482913, 0.10150930000236258]",2,2,2,,,454977,001,2024-09-21_20h56.42.515,Trial_mult,2023.2.1,60.21270741765598,2024-09-21 20h56.48.638001 -0400,
block1_trial3_attendleft_leadmasker.wav,0,2,2,2,14.590270999993663,,,,,,,,,14.590435599995544,14.606992100016214,2.0077897000010125,20.522084199998062,20.52209959999891,20.526790400006576,20.526790400006576,20.85732390001067,"['3', '3', '3']","[-0.04353999998420477, 0.15971880001598038]","[0.09371819999068975, 0.08062079999945126]",3,3,3,,,454977,001,2024-09-21_20h56.42.515,Trial_mult,2023.2.1,60.21270741765598,2024-09-21 20h56.48.638001 -0400,
,,,,,20.87291850001202,,,,,,,,,20.873018400016008,20.889753199997358,2.010578900022665,26.942775400006212,26.94279450000613,32.474918099993374,32.474918099993374,,,,,,,,26.94592019999982,0.016455000004498288,,,,,,,,
